epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,1139.24,0.36946,0.42909,0.13571,0.00129,0.11278,0.99626,0.99881,0.99418,0.96132,0.99626,0.99881,0.99418,0.93649,0.29093,0.41098,0.10158,0.0018,0,0.0011024,0.0011024,0.0011024
70,1155.52,0.3642,0.41685,0.13056,0.0013,0.10249,0.99523,0.99547,0.994,0.94891,0.99523,0.99547,0.994,0.93194,0.31207,0.40614,0.10447,0.00194,0,0.0010892,0.0010892,0.0010892
71,1171.81,0.35233,0.40986,0.13401,0.00121,0.12197,0.99524,0.99652,0.99405,0.95231,0.99524,0.99652,0.99405,0.93153,0.31161,0.41164,0.104,0.00196,0,0.001076,0.001076,0.001076
72,1188.23,0.35333,0.4215,0.12665,0.00125,0.11778,0.99414,0.99881,0.99443,0.95129,0.99414,0.99881,0.99443,0.9394,0.31358,0.40458,0.10464,0.002,0,0.0010628,0.0010628,0.0010628
73,1204.7,0.37075,0.40595,0.13504,0.00132,0.11653,0.99678,0.99642,0.99477,0.94424,0.99678,0.99642,0.99477,0.93534,0.3317,0.40803,0.10953,0.00214,0,0.0010496,0.0010496,0.0010496
74,1221.08,0.35639,0.41152,0.14031,0.00127,0.12462,0.99407,0.99929,0.99492,0.94213,0.99407,0.99929,0.99492,0.93753,0.33034,0.40923,0.1071,0.0021,0,0.0010364,0.0010364,0.0010364
75,1237.42,0.37773,0.41667,0.14011,0.00128,0.12823,0.99406,0.99714,0.99483,0.95521,0.99406,0.99714,0.99483,0.94111,0.30639,0.40671,0.10215,0.00187,0,0.0010232,0.0010232,0.0010232
76,1253.98,0.36419,0.41848,0.13729,0.00127,0.11105,0.99404,0.99456,0.99453,0.96199,0.99404,0.99456,0.99453,0.93524,0.29103,0.4027,0.10395,0.00187,0,0.00101,0.00101,0.00101
77,1270.29,0.35756,0.41502,0.12491,0.00123,0.12043,0.99522,0.99237,0.99482,0.95471,0.99522,0.99237,0.99482,0.93149,0.30114,0.40699,0.10362,0.00187,0,0.0009968,0.0009968,0.0009968
78,1286.63,0.35251,0.41086,0.13048,0.00124,0.1042,0.99525,0.99845,0.99486,0.96085,0.99525,0.99845,0.99486,0.93698,0.29258,0.39962,0.09915,0.00184,0,0.0009836,0.0009836,0.0009836
79,1303.06,0.34809,0.41318,0.12697,0.00121,0.10912,0.99289,0.99861,0.99418,0.95906,0.99289,0.99861,0.99418,0.9351,0.29079,0.40519,0.10499,0.00181,0,0.0009704,0.0009704,0.0009704
80,1319.38,0.37076,0.43131,0.14153,0.00127,0.10958,0.99525,0.99941,0.99405,0.96346,0.99525,0.99941,0.99405,0.93594,0.28514,0.3976,0.09726,0.00178,0,0.0009572,0.0009572,0.0009572
81,1335.88,0.34318,0.41291,0.12495,0.00118,0.10505,0.99881,0.99955,0.99482,0.94896,0.99881,0.99955,0.99482,0.93213,0.31619,0.40576,0.09879,0.00209,0,0.000944,0.000944,0.000944
82,1352,0.33765,0.40733,0.12368,0.00117,0.10718,0.99762,0.99848,0.99487,0.96359,0.99762,0.99848,0.99487,0.94106,0.27986,0.39905,0.09353,0.00173,0,0.0009308,0.0009308,0.0009308
83,1368.5,0.34213,0.4116,0.13183,0.00121,0.11228,0.9963,1,0.99473,0.95643,0.9963,1,0.99473,0.94047,0.29595,0.40169,0.09934,0.0019,0,0.0009176,0.0009176,0.0009176
84,1385.12,0.34471,0.41498,0.12233,0.00119,0.11197,0.99706,0.99642,0.99472,0.96684,0.99706,0.99642,0.99472,0.9394,0.27627,0.40586,0.09521,0.0017,0,0.0009044,0.0009044,0.0009044
85,1401.41,0.35113,0.40609,0.12964,0.00122,0.1072,0.99572,0.99881,0.99457,0.95194,0.99572,0.99881,0.99457,0.93648,0.31462,0.39711,0.10179,0.00199,0,0.0008912,0.0008912,0.0008912
86,1417.99,0.33779,0.39797,0.12351,0.00117,0.11036,0.99881,0.99843,0.99471,0.96117,0.99881,0.99843,0.99471,0.92994,0.29487,0.40182,0.09523,0.00188,0,0.000878,0.000878,0.000878
87,1434.27,0.34284,0.4113,0.12403,0.00116,0.11122,0.9988,0.99604,0.9947,0.96555,0.9988,0.99604,0.9947,0.9409,0.27917,0.39621,0.09304,0.00173,0,0.0008648,0.0008648,0.0008648
88,1450.52,0.34904,0.41083,0.12535,0.00123,0.11473,0.99643,0.99879,0.99444,0.95991,0.99643,0.99879,0.99444,0.94258,0.29063,0.39879,0.09552,0.00181,0,0.0008516,0.0008516,0.0008516
89,1467,0.33086,0.39719,0.11816,0.00115,0.09832,0.9988,0.99535,0.99437,0.96191,0.9988,0.99535,0.99437,0.93836,0.28299,0.39933,0.09441,0.00177,0,0.0008384,0.0008384,0.0008384
90,1483.32,0.33585,0.39511,0.11889,0.00118,0.10176,0.99354,1,0.99472,0.95968,0.99354,1,0.99472,0.94225,0.30231,0.39488,0.09807,0.00199,0,0.0008252,0.0008252,0.0008252
91,1499.55,0.33692,0.41569,0.12222,0.00116,0.1017,0.99737,1,0.99443,0.96412,0.99737,1,0.99443,0.93558,0.28099,0.40027,0.09062,0.00176,0,0.000812,0.000812,0.000812
92,1516.06,0.33563,0.40045,0.11926,0.00111,0.10993,0.99763,0.99523,0.99431,0.96473,0.99763,0.99523,0.99431,0.93885,0.28313,0.39669,0.09475,0.00176,0,0.0007988,0.0007988,0.0007988
93,1532.24,0.34105,0.4008,0.12497,0.0012,0.10221,0.99771,1,0.99463,0.96395,0.99771,1,0.99463,0.94269,0.28559,0.39485,0.09067,0.00176,0,0.0007856,0.0007856,0.0007856
94,1549.32,0.33019,0.3927,0.11539,0.00114,0.10106,0.99407,0.99844,0.99474,0.95344,0.99407,0.99844,0.99474,0.94709,0.31093,0.39329,0.10229,0.00191,0,0.0007724,0.0007724,0.0007724
95,1565.63,0.33704,0.41651,0.1185,0.00114,0.10198,0.99644,0.99972,0.99475,0.96274,0.99644,0.99972,0.99475,0.93898,0.29187,0.3978,0.09443,0.00184,0,0.0007592,0.0007592,0.0007592
96,1582.04,0.33177,0.40373,0.11657,0.00112,0.10043,0.99525,0.99984,0.99424,0.95784,0.99525,0.99984,0.99424,0.93851,0.30817,0.39761,0.09825,0.00195,0,0.000746,0.000746,0.000746
97,1598.48,0.33391,0.40588,0.11702,0.00112,0.10108,0.99762,0.99841,0.99411,0.95824,0.99762,0.99841,0.99411,0.93952,0.28359,0.39355,0.09445,0.00178,0,0.0007328,0.0007328,0.0007328
