epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,689.75,0.4402,0.41928,0.18608,0.00147,0.11953,0.98858,0.98927,0.99378,0.93428,0.98858,0.98927,0.99378,0.90779,0.34745,0.37241,0.12688,0.00209,0,0.0011288,0.0011288,0.0011288
46,704.759,0.43014,0.39324,0.16762,0.00147,0.10616,0.99683,0.99046,0.99384,0.94989,0.99683,0.99046,0.99384,0.90807,0.30974,0.37165,0.11436,0.00183,0,0.001109,0.001109,0.001109
47,719.87,0.40822,0.41835,0.16271,0.00143,0.11383,0.99052,0.99595,0.99465,0.93292,0.99052,0.99595,0.99465,0.89953,0.35349,0.37446,0.12491,0.00208,0,0.0010892,0.0010892,0.0010892
48,735.09,0.43162,0.39817,0.15867,0.00141,0.105,0.99297,0.99762,0.99496,0.94696,0.99297,0.99762,0.99496,0.8972,0.32384,0.38202,0.11474,0.00198,0,0.0010694,0.0010694,0.0010694
49,750.215,0.40942,0.40065,0.15723,0.00138,0.11621,0.99162,0.99166,0.99482,0.93905,0.99162,0.99166,0.99482,0.91438,0.35457,0.38965,0.12295,0.00219,0,0.0010496,0.0010496,0.0010496
50,765.853,0.42782,0.39665,0.17255,0.00142,0.11206,0.99166,0.99234,0.99482,0.94657,0.99166,0.99234,0.99482,0.89909,0.31562,0.37176,0.11192,0.00192,0,0.0010298,0.0010298,0.0010298
51,781.127,0.39473,0.39778,0.15325,0.00136,0.10779,0.99299,0.99046,0.99403,0.94396,0.99299,0.99046,0.99403,0.89763,0.32738,0.38547,0.11829,0.00198,0,0.00101,0.00101,0.00101
52,796.23,0.39361,0.38333,0.1542,0.00127,0.1013,0.99054,0.99839,0.99391,0.9482,0.99054,0.99839,0.99391,0.90742,0.32217,0.37483,0.11422,0.00195,0,0.0009902,0.0009902,0.0009902
53,811.311,0.39973,0.38879,0.15884,0.00139,0.10663,0.9976,0.99187,0.99498,0.95428,0.9976,0.99187,0.99498,0.90748,0.3066,0.38088,0.10606,0.00184,0,0.0009704,0.0009704,0.0009704
54,826.751,0.41558,0.39414,0.15882,0.00135,0.11284,0.99519,0.98602,0.99487,0.9402,0.99519,0.98602,0.99487,0.89632,0.33986,0.38657,0.12108,0.00202,0,0.0009506,0.0009506,0.0009506
55,841.964,0.41568,0.38202,0.16669,0.00136,0.10785,0.98712,0.99523,0.99481,0.94399,0.98712,0.99523,0.99481,0.91213,0.33287,0.37466,0.11752,0.00198,0,0.0009308,0.0009308,0.0009308
56,856.996,0.39462,0.40043,0.15331,0.00132,0.11042,0.99286,0.9951,0.99479,0.93892,0.99286,0.9951,0.99479,0.89522,0.35319,0.38376,0.1231,0.00209,0,0.000911,0.000911,0.000911
57,872.113,0.40508,0.40676,0.16026,0.0014,0.1186,0.99015,0.99046,0.99464,0.95641,0.99015,0.99046,0.99464,0.90513,0.30073,0.37634,0.11461,0.0018,0,0.0008912,0.0008912,0.0008912
58,887.223,0.39976,0.39031,0.15429,0.0013,0.10687,0.99319,0.98808,0.99441,0.94745,0.99319,0.98808,0.99441,0.91627,0.3209,0.3723,0.11558,0.00188,0,0.0008714,0.0008714,0.0008714
59,902.495,0.39784,0.38698,0.14971,0.00138,0.11033,0.9928,0.99046,0.99416,0.94484,0.9928,0.99046,0.99416,0.89613,0.32598,0.3739,0.11679,0.00198,0,0.0008516,0.0008516,0.0008516
60,918.439,0.41347,0.39445,0.15326,0.00138,0.11573,0.99025,0.99404,0.9943,0.95952,0.99025,0.99404,0.9943,0.90648,0.29023,0.37134,0.10563,0.00173,0,0.0008318,0.0008318,0.0008318
61,933.664,0.39936,0.39245,0.15006,0.00133,0.11448,0.99167,0.99314,0.99433,0.9599,0.99167,0.99314,0.99433,0.912,0.30012,0.36855,0.11057,0.00178,0,0.000812,0.000812,0.000812
62,948.916,0.39841,0.39629,0.15756,0.00135,0.11721,0.99404,0.99456,0.99443,0.95772,0.99404,0.99456,0.99443,0.91214,0.29492,0.36782,0.1038,0.00178,0,0.0007922,0.0007922,0.0007922
63,964.217,0.38816,0.40104,0.14983,0.00131,0.10566,0.99286,0.99469,0.9947,0.95986,0.99286,0.99469,0.9947,0.91125,0.29489,0.37719,0.10263,0.0018,0,0.0007724,0.0007724,0.0007724
64,979.074,0.37109,0.38611,0.14624,0.00125,0.10637,0.99648,0.99404,0.99457,0.95794,0.99648,0.99404,0.99457,0.89576,0.29807,0.3844,0.10578,0.00175,0,0.0007526,0.0007526,0.0007526
65,994.137,0.38625,0.39858,0.15318,0.00127,0.11001,0.99588,0.99404,0.99493,0.95936,0.99588,0.99404,0.99493,0.91015,0.29278,0.37369,0.10351,0.00177,0,0.0007328,0.0007328,0.0007328
66,1009.26,0.38125,0.39818,0.15255,0.00129,0.1044,0.98988,0.99166,0.99468,0.95149,0.98988,0.99166,0.99468,0.9136,0.3111,0.36968,0.11395,0.00189,0,0.000713,0.000713,0.000713
