epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,3113.5,0.36032,0.39063,0.13284,0.00122,0.11378,0.99515,0.99166,0.99459,0.96156,0.99515,0.99166,0.99459,0.92324,0.28701,0.40108,0.10347,0.00172,0,0.001076,0.001076,0.001076
72,3159.49,0.35866,0.41384,0.13267,0.00128,0.11362,0.99168,0.99429,0.99442,0.95764,0.99168,0.99429,0.99442,0.92211,0.29666,0.3881,0.10528,0.0018,0,0.0010628,0.0010628,0.0010628
73,3202.63,0.35493,0.38821,0.12566,0.00124,0.10653,0.9964,0.98896,0.99453,0.96239,0.9964,0.98896,0.99453,0.92733,0.29536,0.39263,0.10391,0.00178,0,0.0010496,0.0010496,0.0010496
74,3244.18,0.34548,0.39912,0.12754,0.00122,0.11153,0.98935,0.99658,0.99466,0.96208,0.98935,0.99658,0.99466,0.92663,0.28501,0.40066,0.10145,0.0017,0,0.0010364,0.0010364,0.0010364
75,3289.07,0.3633,0.40067,0.13059,0.00122,0.10437,0.98918,1,0.99444,0.96255,0.98918,1,0.99444,0.9291,0.29503,0.38834,0.1034,0.00175,0,0.0010232,0.0010232,0.0010232
76,3337.32,0.35589,0.40362,0.12471,0.00122,0.10928,0.99172,0.99963,0.99479,0.95904,0.99172,0.99963,0.99479,0.92167,0.28997,0.39332,0.10168,0.00173,0,0.00101,0.00101,0.00101
77,3380.87,0.34468,0.3975,0.11894,0.00118,0.11313,0.98838,0.99523,0.99469,0.95375,0.98838,0.99523,0.99469,0.92584,0.30839,0.38872,0.1091,0.0019,0,0.0009968,0.0009968,0.0009968
78,3425.55,0.35074,0.40478,0.12378,0.00122,0.10415,0.99286,0.99379,0.99476,0.96216,0.99286,0.99379,0.99476,0.93073,0.29414,0.38862,0.10531,0.00175,0,0.0009836,0.0009836,0.0009836
79,3471.9,0.35268,0.39801,0.12438,0.00124,0.11759,0.9947,0.99285,0.99426,0.9619,0.9947,0.99285,0.99426,0.92406,0.28893,0.38951,0.10072,0.00173,0,0.0009704,0.0009704,0.0009704
80,3515.31,0.37084,0.41949,0.12909,0.00126,0.11335,0.99542,0.99642,0.99436,0.95902,0.99542,0.99642,0.99436,0.92534,0.30291,0.39575,0.1019,0.00182,0,0.0009572,0.0009572,0.0009572
81,3561.96,0.3523,0.40283,0.1285,0.00122,0.11056,0.9986,0.99642,0.99469,0.95892,0.9986,0.99642,0.99469,0.92344,0.30532,0.40583,0.10003,0.00182,0,0.000944,0.000944,0.000944
82,3606.64,0.35247,0.40206,0.1241,0.00123,0.10919,0.99399,0.99523,0.99494,0.96111,0.99399,0.99523,0.99494,0.92541,0.28296,0.39369,0.09981,0.0017,0,0.0009308,0.0009308,0.0009308
83,3649.76,0.34211,0.40018,0.12021,0.0012,0.10777,0.99523,0.99536,0.99426,0.96263,0.99523,0.99536,0.99426,0.92839,0.29309,0.39041,0.10581,0.00175,0,0.0009176,0.0009176,0.0009176
84,3695.97,0.342,0.39835,0.12258,0.00119,0.10437,0.98897,0.99404,0.99403,0.96332,0.98897,0.99404,0.99403,0.92655,0.28678,0.39191,0.10726,0.00171,0,0.0009044,0.0009044,0.0009044
85,3738.36,0.35105,0.39769,0.12158,0.00124,0.11222,0.9917,0.99701,0.99467,0.96373,0.9917,0.99701,0.99467,0.93076,0.28623,0.38536,0.10098,0.00173,0,0.0008912,0.0008912,0.0008912
86,3781.95,0.34024,0.38195,0.12549,0.00115,0.11452,0.98699,0.995,0.99449,0.96426,0.98699,0.995,0.99449,0.92718,0.27735,0.38957,0.10041,0.00165,0,0.000878,0.000878,0.000878
