epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,1694.27,0.43132,0.41442,0.16111,0.00151,0.11285,0.99407,0.99962,0.99441,0.95641,0.99407,0.99962,0.99441,0.90912,0.30744,0.38379,0.10039,0.00185,0,0.0014456,0.0014456,0.0014456
58,1727.31,0.42829,0.40624,0.14947,0.00141,0.11161,0.99762,0.99868,0.99452,0.95279,0.99762,0.99868,0.99452,0.90196,0.31199,0.38912,0.09809,0.00187,0,0.0014357,0.0014357,0.0014357
59,1759.42,0.40538,0.39586,0.14485,0.00142,0.11566,0.98937,0.9983,0.99441,0.95523,0.98937,0.9983,0.99441,0.90772,0.31199,0.39264,0.10494,0.00186,0,0.0014258,0.0014258,0.0014258
60,1792,0.42319,0.41568,0.14849,0.00142,0.11911,0.99057,0.99523,0.99427,0.94578,0.99057,0.99523,0.99427,0.90483,0.33187,0.40477,0.11154,0.00202,0,0.0014159,0.0014159,0.0014159
61,1826.19,0.43918,0.40668,0.15605,0.00148,0.11917,0.99643,0.99864,0.99459,0.94153,0.99643,0.99864,0.99459,0.89041,0.34095,0.39446,0.10813,0.0021,0,0.001406,0.001406,0.001406
62,1858.31,0.43012,0.41132,0.15361,0.00148,0.1247,0.99246,0.99881,0.99452,0.94211,0.99246,0.99881,0.99452,0.9017,0.3368,0.38887,0.1095,0.00204,0,0.0013961,0.0013961,0.0013961
63,1890.88,0.41871,0.41978,0.14954,0.00145,0.10686,0.99466,0.99642,0.99475,0.94239,0.99466,0.99642,0.99475,0.90595,0.3471,0.39594,0.11175,0.00211,0,0.0013862,0.0013862,0.0013862
64,1923.19,0.39991,0.39097,0.14346,0.00136,0.09825,0.9929,0.99963,0.99479,0.95588,0.9929,0.99963,0.99479,0.9084,0.31367,nan,nan,0.00184,0,0.0013763,0.0013763,0.0013763
65,1956.94,0.40873,0.40419,0.14631,0.00137,0.12022,0.99587,0.99762,0.9946,0.95533,0.99587,0.99762,0.9946,0.90897,0.31502,nan,nan,0.00188,0,0.0013664,0.0013664,0.0013664
66,1990.23,0.41044,0.40809,0.14862,0.00139,0.10819,0.99524,0.99755,0.99456,0.95591,0.99524,0.99755,0.99456,0.90602,0.30633,nan,nan,0.00186,0,0.0013565,0.0013565,0.0013565
67,2024.99,0.41299,0.4093,0.1449,0.00139,0.11031,0.99627,0.99762,0.99428,0.94818,0.99627,0.99762,0.99428,0.90904,nan,nan,nan,nan,0,0.0013466,0.0013466,0.0013466
68,2056.31,0.40821,0.39963,0.1475,0.00139,0.11239,0.9959,0.99881,0.99457,0.93338,0.9959,0.99881,0.99457,0.90443,nan,nan,nan,nan,0,0.0013367,0.0013367,0.0013367
69,2088.45,0.41763,0.40564,0.15129,0.00142,0.10635,0.99406,0.99749,0.99463,0.94951,0.99406,0.99749,0.99463,0.90833,0.31404,nan,nan,0.00187,0,0.0013268,0.0013268,0.0013268
70,2121.85,0.40572,0.39754,0.14292,0.00141,0.10345,0.99469,0.99642,0.99442,0.95799,0.99469,0.99642,0.99442,0.90525,0.31059,0.38019,0.10405,0.00189,0,0.0013169,0.0013169,0.0013169
71,2154.59,0.41715,0.38236,0.14293,0.00138,0.12339,0.99522,0.99343,0.99443,0.95523,0.99522,0.99343,0.99443,0.9105,0.3014,nan,nan,0.00181,0,0.001307,0.001307,0.001307
72,2184.36,0.40755,0.3993,0.13922,0.00142,0.12228,0.99643,0.99742,0.9948,0.9457,0.99643,0.99742,0.9948,0.90237,0.32656,nan,nan,0.0019,0,0.0012971,0.0012971,0.0012971
73,2217.76,0.41087,0.37247,0.14495,0.00141,0.1034,0.99523,0.99371,0.99473,0.9537,0.99523,0.99371,0.99473,0.90756,0.31172,0.39123,0.10502,0.00186,0,0.0012872,0.0012872,0.0012872
74,2250.11,0.38446,0.38411,0.1378,0.00134,0.10817,0.99615,0.99642,0.99435,0.95247,0.99615,0.99642,0.99435,0.91213,0.3189,0.38251,0.10394,0.00188,0,0.0012773,0.0012773,0.0012773
75,2282.95,0.41851,0.40938,0.14823,0.00139,0.10664,0.99523,0.99562,0.99444,0.95126,0.99523,0.99562,0.99444,0.9072,0.31593,0.3776,0.10392,0.0019,0,0.0012674,0.0012674,0.0012674
76,2315.22,0.41511,0.40363,0.1431,0.00143,0.11589,0.99288,0.99759,0.99471,0.94773,0.99288,0.99759,0.99471,0.9031,0.32863,0.38573,0.10828,0.00199,0,0.0012575,0.0012575,0.0012575
77,2344.32,0.39462,0.38185,0.13598,0.00133,0.12321,0.99624,0.99762,0.99472,0.95711,0.99624,0.99762,0.99472,0.90638,0.31098,0.38089,0.1013,0.00185,0,0.0012476,0.0012476,0.0012476
78,2374.78,0.40125,0.3842,0.13773,0.00138,0.1063,0.99169,0.99533,0.9942,0.96158,0.99169,0.99533,0.9942,0.91101,0.29783,nan,nan,0.00177,0,0.0012377,0.0012377,0.0012377
79,2407.91,0.40389,0.39072,0.13866,0.00137,0.10116,0.99379,0.99762,0.9941,0.94949,0.99379,0.99762,0.9941,0.91784,0.31859,0.37241,0.10771,0.00194,0,0.0012278,0.0012278,0.0012278
80,2440.12,0.40835,0.38744,0.1426,0.00138,0.10561,0.99451,0.99523,0.9941,0.94904,0.99451,0.99523,0.9941,0.90675,0.32294,0.37496,0.11265,0.00193,0,0.0012179,0.0012179,0.0012179
81,2472.99,0.39299,0.38733,0.13637,0.00132,0.09956,0.99346,0.99762,0.99459,0.9354,0.99346,0.99762,0.99459,0.90238,0.34505,0.37473,0.11175,0.00211,0,0.001208,0.001208,0.001208
82,2508.16,0.38902,0.39719,0.1365,0.00134,0.10934,0.99761,0.9946,0.99444,0.95278,0.99761,0.9946,0.99444,0.90439,0.31065,0.37733,0.11056,0.0019,0,0.0011981,0.0011981,0.0011981
83,2541.62,0.38685,0.38745,0.13537,0.00134,0.1131,0.99641,0.99187,0.99463,0.95026,0.99641,0.99187,0.99463,0.91152,0.31707,0.38675,0.10612,0.00196,0,0.0011882,0.0011882,0.0011882
84,2574.92,0.38341,0.39514,0.13098,0.00131,0.10527,0.98821,0.99865,0.99475,0.9591,0.98821,0.99865,0.99475,0.90733,0.29454,0.37886,0.1018,0.00177,0,0.0011783,0.0011783,0.0011783
85,2609.27,0.39619,0.38749,0.13716,0.00136,0.10993,0.99053,0.9977,0.99467,0.95601,0.99053,0.9977,0.99467,0.90644,0.3109,0.37854,0.10598,0.00186,0,0.0011684,0.0011684,0.0011684
86,2641.44,0.38486,0.37097,0.13793,0.00128,0.10765,0.99494,0.99881,0.99459,0.95377,0.99494,0.99881,0.99459,0.91099,0.30523,0.3816,0.09828,0.00183,0,0.0011585,0.0011585,0.0011585
87,2673.59,0.39351,0.38807,0.13751,0.00131,0.11318,0.99583,0.99642,0.99447,0.95334,0.99583,0.99642,0.99447,0.89757,0.30306,0.37978,0.09897,0.00182,0,0.0011486,0.0011486,0.0011486
